frame_idx,timestamp_sec,timestamp_nanosec,timestamp_total_sec,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,num_detected,num_matched,num_inliers,inlier_ratio,feature_survival_rate,feature_vel_mean,feature_vel_max,consecutive_low_inliers,failure_triggered_streak,window_low_inlier_pct,failure_triggered_window,rel_tx,rel_ty,rel_tz,rel_rot_deg
106,11,56000000,11.056000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0016,0.0096,107,True,100.00,True,0.0,0.0,0.0,0.00
107,11,92000000,11.092000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0024,0.0087,108,True,100.00,True,0.0,0.0,0.0,0.00
108,11,124000000,11.124000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0021,0.0102,109,True,100.00,True,0.0,0.0,0.0,0.00
109,11,156000000,11.156000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0004,0.0114,110,True,100.00,True,0.0,0.0,0.0,0.00
110,11,188000000,11.188000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0031,0.0117,111,True,100.00,True,0.0,0.0,0.0,0.00
111,11,224000000,11.224000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0027,0.0162,112,True,100.00,True,0.0,0.0,0.0,0.00
112,11,256000000,11.256000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0003,0.0081,113,True,100.00,True,0.0,0.0,0.0,0.00
113,11,288000000,11.288000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0016,0.0094,114,True,100.00,True,0.0,0.0,0.0,0.00
114,11,320000000,11.320000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0024,0.0099,115,True,100.00,True,0.0,0.0,0.0,0.00
115,11,356000000,11.356000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0022,0.0188,116,True,100.00,True,0.0,0.0,0.0,0.00
116,11,388000000,11.388000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0017,0.0098,117,True,100.00,True,0.0,0.0,0.0,0.00
117,11,420000000,11.420000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,1,0.0005,1.0000,0.0023,0.0103,118,True,100.00,True,0.0,0.0,0.0,0.00
118,11,452000000,11.452000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0718,23.6295,119,True,100.00,True,0.0,0.0,0.0,0.00
119,11,488000000,11.488000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,1991,4,0.0020,0.9955,2.3274,145.1823,120,True,100.00,True,0.0,0.0,0.0,0.00
120,11,520000000,11.520000000,0.06341254234752526,-0.04958724909838682,-0.9967547111500793,1.745613984543002e-05,-4.743484837122065e-05,-1.0589914059715994e-05,0.9999999986665361,1991,1960,10,0.0051,0.9844,3.5265,110.3335,0,True,98.36,True,0.06341254234752526,-0.04958724909838682,-0.9967547111500793,0.01
121,11,552000000,11.552000000,0.06341254234752526,-0.04958724909838682,-0.9967547111500793,1.745613984543002e-05,-4.743484837122065e-05,-1.0589914059715994e-05,0.9999999986665361,2000,0,0,0.0000,0.0000,0.0000,0.0000,1,True,98.36,True,0.0,0.0,0.0,0.00
122,11,584000000,11.584000000,0.06341254234752526,-0.04958724909838682,-0.9967547111500793,1.745613984543002e-05,-4.743484837122065e-05,-1.0589914059715994e-05,0.9999999986665361,2000,2000,1,0.0005,1.0000,0.0154,9.6797,2,True,98.36,True,0.0,0.0,0.0,0.00
123,11,620000000,11.620000000,0.06341254234752526,-0.04958724909838682,-0.9967547111500793,1.745613984543002e-05,-4.743484837122065e-05,-1.0589914059715994e-05,0.9999999986665361,2000,2000,0,0.0000,1.0000,0.0039,0.0330,3,True,98.36,True,0.0,0.0,0.0,0.00
124,11,652000000,11.652000000,0.06341254234752526,-0.04958724909838682,-0.9967547111500793,1.745613984543002e-05,-4.743484837122065e-05,-1.0589914059715994e-05,0.9999999986665361,2000,1999,0,0.0000,0.9995,0.0361,14.6859,4,True,98.36,True,0.0,0.0,0.0,0.00
125,11,684000000,11.684000000,-0.6961279112795599,-0.6180081735485065,-1.3129760765750498,1.7456139847352144e-05,-4.743484837016595e-05,-1.0589914060506914e-05,0.9999999986665361,1999,1995,8,0.0040,0.9980,2.1814,199.2036,0,True,96.72,True,-0.7595584097479824,-0.5684480499810396,-0.31612946185679913,0.00
126,11,716000000,11.716000000,-0.6961279112795599,-0.6180081735485065,-1.3129760765750498,1.7456139847352144e-05,-4.743484837016595e-05,-1.0589914060506914e-05,0.9999999986665361,2000,0,0,0.0000,0.0000,0.0000,0.0000,1,True,96.72,True,0.0,0.0,0.0,0.00
127,11,752000000,11.752000000,-0.6961279112795599,-0.6180081735485065,-1.3129760765750498,1.7456139847352144e-05,-4.743484837016595e-05,-1.0589914060506914e-05,0.9999999986665361,2000,2000,3,0.0015,1.0000,2.2331,117.8618,2,True,96.72,True,0.0,0.0,0.0,0.00
128,11,784000000,11.784000000,-0.6961279112795599,-0.6180081735485065,-1.3129760765750498,1.7456139847352144e-05,-4.743484837016595e-05,-1.0589914060506914e-05,0.9999999986665361,2000,1969,2,0.0010,0.9845,0.3401,39.8893,3,True,96.72,True,0.0,0.0,0.0,0.00
129,11,816000000,11.816000000,-0.6961279112795599,-0.6180081735485065,-1.3129760765750498,1.7456139847352144e-05,-4.743484837016595e-05,-1.0589914060506914e-05,0.9999999986665361,1969,1969,0,0.0000,1.0000,0.0018,0.0125,4,True,96.72,True,0.0,0.0,0.0,0.00
